stability_threshold,min_size,NMI,ARI,modularity,num_communities,refinement_candidates,communities_refined,stage2_seconds,stage1_seconds,delta_NMI_vs_stage1,delta_ARI_vs_stage1,delta_NMI_vs_baseline,delta_ARI_vs_baseline
0.99,10,0.9047471070393173,0.48299384980905613,0.8911524519205211,2858,79,79,8.73885178565979,422.28120517730713,0.03239058657310556,0.05749869354143777,0.06160234348601201,0.15271670581035468
0.99,20,0.9047471070393173,0.48299384980905613,0.8911524519205211,2858,79,79,7.812257766723633,422.28120517730713,0.03239058657310556,0.05749869354143777,0.06160234348601201,0.15271670581035468
0.99,30,0.9047471070393173,0.48299384980905613,0.8911524519205211,2858,79,79,7.764899969100952,422.28120517730713,0.03239058657310556,0.05749869354143777,0.06160234348601201,0.15271670581035468
0.99,50,0.9047471070393173,0.48299384980905613,0.8911524519205211,2858,79,79,7.811813116073608,422.28120517730713,0.03239058657310556,0.05749869354143777,0.06160234348601201,0.15271670581035468
0.99,100,0.9047471070393173,0.48299384980905613,0.8911524519205211,2858,79,79,8.012519121170044,422.28120517730713,0.03239058657310556,0.05749869354143777,0.06160234348601201,0.15271670581035468
0.95,10,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7761330604553223,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.95,20,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.824295997619629,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.95,30,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7173798084259033,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.95,50,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.788933277130127,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.95,100,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7187309265136719,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.9,10,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7459280490875244,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.9,20,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.765293836593628,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.9,30,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7921578884124756,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.9,50,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.738145112991333,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.9,100,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7179360389709473,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.85,10,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.77829909324646,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.85,20,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7656619548797607,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.85,30,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7452490329742432,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.85,50,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7364888191223145,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.85,100,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7214951515197754,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.8,10,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7460389137268066,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.8,20,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7610969543457031,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.8,30,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7726237773895264,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.8,50,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.740638017654419,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.8,100,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7287390232086182,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.75,10,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7634129524230957,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.75,20,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7522318363189697,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.75,30,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.739595890045166,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.75,50,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7326791286468506,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
0.75,100,0.8723565204662117,0.42549515626761836,0.9276514733048086,360,0,0,1.7337100505828857,422.28120517730713,0.0,0.0,0.02921175691290645,0.09521801226891691
